flag provided but not defined: -addr
Usage of C:\Users\Fwind43\Desktop\code\GenericAgent-Admin-Go\GenericAgent-Admin-Go.exe:
  -headless
    	run without browser, tray, or desktop pet; intended for Linux servers
  -no-browser
    	do not open the web UI automatically
  -port int
    	override HTTP listen port for this launch (1-65535)
  -server-only
    	alias for --headless

--- restart with -port 8799 ---
2026/06/25 09:47:41 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:47:57 desktop pet action=waiting ticks=18 loop=true
2026/06/25 09:48:14 desktop pet action=running ticks=18 loop=true
2026/06/25 09:48:31 desktop pet action=review ticks=18 loop=true
2026/06/25 09:48:48 desktop pet action=waving ticks=14 loop=false
2026/06/25 09:49:02 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:49:17 desktop pet action=waiting ticks=18 loop=true
2026/06/25 09:49:32 desktop pet action=running ticks=18 loop=true
2026/06/25 09:49:47 desktop pet action=review ticks=18 loop=true
2026/06/25 09:50:03 desktop pet action=waving ticks=14 loop=false
2026/06/25 09:50:19 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:50:35 desktop pet action=waiting ticks=18 loop=true
2026/06/25 09:50:51 desktop pet action=running ticks=18 loop=true
2026/06/25 09:51:08 desktop pet action=review ticks=18 loop=true
2026/06/25 09:51:25 desktop pet action=waving ticks=14 loop=false
2026/06/25 09:51:42 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:51:57 desktop pet action=waiting ticks=18 loop=true
2026/06/25 09:52:12 desktop pet action=running ticks=18 loop=true
2026/06/25 09:52:27 desktop pet action=review ticks=18 loop=true
2026/06/25 09:52:43 desktop pet action=waving ticks=14 loop=false
2026/06/25 09:52:58 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:53:14 desktop pet action=waiting ticks=18 loop=true
2026/06/25 09:53:30 desktop pet action=running ticks=18 loop=true
2026/06/25 09:53:47 desktop pet action=review ticks=18 loop=true
2026/06/25 09:54:04 desktop pet action=waving ticks=14 loop=false
2026/06/25 09:54:21 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:54:35 desktop pet action=waiting ticks=18 loop=true
2026/06/25 09:54:50 desktop pet action=running ticks=18 loop=true
2026/06/25 09:55:05 desktop pet action=review ticks=18 loop=true
2026/06/25 09:55:21 desktop pet action=waving ticks=14 loop=false
2026/06/25 09:55:36 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:55:52 desktop pet action=waiting ticks=18 loop=true
2026/06/25 09:56:08 desktop pet action=running ticks=18 loop=true
2026/06/25 09:56:24 desktop pet action=review ticks=18 loop=true
2026/06/25 09:56:41 desktop pet action=waving ticks=14 loop=false
2026/06/25 09:56:58 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:57:15 desktop pet action=waiting ticks=18 loop=true
2026/06/25 09:57:30 desktop pet action=running ticks=18 loop=true
2026/06/25 09:57:45 desktop pet action=review ticks=18 loop=true
2026/06/25 09:58:00 desktop pet action=waving ticks=14 loop=false
2026/06/25 09:58:15 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:58:31 desktop pet action=waiting ticks=18 loop=true
2026/06/25 09:58:47 desktop pet action=running ticks=18 loop=true
2026/06/25 09:59:03 desktop pet action=review ticks=18 loop=true
2026/06/25 09:59:20 desktop pet action=waving ticks=14 loop=false
2026/06/25 09:59:37 desktop pet action=jumping ticks=16 loop=false
2026/06/25 09:59:54 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:00:08 desktop pet action=running ticks=18 loop=true
2026/06/25 10:00:23 desktop pet action=review ticks=18 loop=true
2026/06/25 10:00:38 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:00:53 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:01:09 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:01:25 desktop pet action=running ticks=18 loop=true
2026/06/25 10:01:41 desktop pet action=review ticks=18 loop=true
2026/06/25 10:01:58 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:02:14 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:02:31 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:02:48 desktop pet action=running ticks=18 loop=true
